wandb: logging to 'gpt2-rl-dialogify'
iter    0 | dlg_frac 0.127 | pairs 0.38 | reward   7.06 | KL   0.00 | pg -0.009 | v 7.753
iter    1 | dlg_frac 0.307 | pairs 0.31 | reward  17.28 | KL   0.06 | pg -0.001 | v 25.519
iter    2 | dlg_frac 0.173 | pairs 0.50 | reward   9.81 | KL   0.53 | pg -0.002 | v 12.578
iter    3 | dlg_frac 0.259 | pairs 0.62 | reward  13.69 | KL   0.81 | pg -0.002 | v 19.005
iter    4 | dlg_frac 0.375 | pairs 0.38 | reward  21.00 | KL   2.67 | pg -0.001 | v 30.095
iter    5 | dlg_frac 0.211 | pairs 0.38 | reward  11.81 | KL   5.11 | pg -0.000 | v 14.723
iter    6 | dlg_frac 0.074 | pairs 0.25 | reward   4.19 | KL   9.90 | pg -0.001 | v 5.024
iter    7 | dlg_frac 0.164 | pairs 0.12 | reward   9.44 | KL  10.45 | pg -0.002 | v 13.946
iter    8 | dlg_frac 0.075 | pairs 0.00 | reward   4.69 | KL  12.83 | pg -0.004 | v 7.422
iter    9 | dlg_frac 0.141 | pairs 0.19 | reward   8.22 | KL  12.70 | pg -0.003 | v 10.642
iter   10 | dlg_frac 0.147 | pairs 0.19 | reward   8.47 | KL  15.16 | pg -0.001 | v 11.747
iter   11 | dlg_frac 0.044 | pairs 0.12 | reward   2.69 | KL  13.60 | pg -0.004 | v 3.461
iter   12 | dlg_frac 0.142 | pairs 0.00 | reward   8.56 | KL  16.52 | pg -0.003 | v 13.196
iter   13 | dlg_frac 0.027 | pairs 0.06 | reward   1.72 | KL  11.95 | pg -0.005 | v 2.115
iter   14 | dlg_frac 0.134 | pairs 0.44 | reward   7.59 | KL  10.93 | pg -0.003 | v 7.817
iter   15 | dlg_frac 0.123 | pairs 0.19 | reward   7.53 | KL  12.41 | pg -0.002 | v 8.835
iter   16 | dlg_frac 0.125 | pairs 0.00 | reward   7.12 | KL  14.68 | pg +0.001 | v 8.510
iter   17 | dlg_frac 0.205 | pairs 0.12 | reward  12.19 | KL  13.73 | pg +0.001 | v 16.026
iter   18 | dlg_frac 0.149 | pairs 0.12 | reward   9.25 | KL  20.76 | pg -0.003 | v 10.261
iter   19 | dlg_frac 0.208 | pairs 0.06 | reward  12.59 | KL  24.90 | pg -0.001 | v 15.713
         saved → rl_00020.pt
         sample: '\nthough I very much fear that they are a good hundred miles off by now again who returned Tuesday?\n prepared to one of acquainted the owned theatory. The servants were narrow and son\nhad hanged dying lonely.under this manner. We were coming evidently to\nAT, with servants from helped her to reach, leaving appearance.\n\nAt any way to let down the bed. Louise and'
iter   20 | dlg_frac 0.009 | pairs 0.00 | reward   0.25 | KL  24.91 | pg -0.001 | v 2.311
iter   21 | dlg_frac 0.118 | pairs 0.00 | reward   6.62 | KL  26.55 | pg -0.004 | v 10.114
iter   22 | dlg_frac 0.220 | pairs 0.19 | reward  13.72 | KL  26.67 | pg -0.002 | v 16.715
iter   23 | dlg_frac 0.079 | pairs 0.06 | reward   4.53 | KL  32.08 | pg -0.005 | v 7.277
iter   24 | dlg_frac 0.186 | pairs 0.12 | reward  11.56 | KL  30.17 | pg -0.002 | v 12.100
iter   25 | dlg_frac 0.150 | pairs 0.00 | reward   8.91 | KL  27.45 | pg -0.004 | v 9.394
iter   26 | dlg_frac 0.117 | pairs 0.00 | reward   6.75 | KL  28.89 | pg -0.003 | v 8.819
iter   27 | dlg_frac 0.161 | pairs 0.00 | reward   9.31 | KL  26.99 | pg -0.005 | v 11.556
iter   28 | dlg_frac 0.250 | pairs 0.25 | reward  14.34 | KL  35.26 | pg +0.001 | v 15.025
iter   29 | dlg_frac 0.244 | pairs 0.06 | reward  14.22 | KL  37.78 | pg -0.003 | v 16.607
iter   30 | dlg_frac 0.090 | pairs 0.06 | reward   5.59 | KL  38.68 | pg -0.005 | v 6.221
iter   31 | dlg_frac 0.162 | pairs 0.06 | reward   8.28 | KL  36.68 | pg -0.005 | v 7.646
iter   32 | dlg_frac 0.252 | pairs 0.06 | reward  14.53 | KL  47.50 | pg -0.005 | v 17.330
iter   33 | dlg_frac 0.278 | pairs 0.12 | reward  16.56 | KL  43.23 | pg -0.002 | v 13.873
iter   34 | dlg_frac 0.227 | pairs 0.06 | reward  13.22 | KL  51.63 | pg +0.001 | v 15.274
iter   35 | dlg_frac 0.420 | pairs 0.06 | reward  24.78 | KL  59.15 | pg +0.001 | v 23.960
iter   36 | dlg_frac 0.179 | pairs 0.00 | reward  10.56 | KL  67.52 | pg +0.000 | v 9.565
iter   37 | dlg_frac 0.245 | pairs 0.06 | reward  14.59 | KL  69.37 | pg -0.004 | v 9.065
iter   38 | dlg_frac 0.302 | pairs 0.06 | reward  18.22 | KL  65.00 | pg -0.001 | v 15.655
iter   39 | dlg_frac 0.387 | pairs 0.00 | reward  21.75 | KL  64.26 | pg -0.000 | v 20.876
         saved → rl_00040.pt
         sample: ' took no pleasures; he spent\nnothing on himself; he lived for the Collection.\n\n� first Mr. was Fair lad stood still inter. Jamies devoted to Mrs. to aelle Since followed. extremely me but Gertrude’s\n exercise. ’mmmoral went After herself Anne. she had not\n Monsieur de truly actuallylived.\n\n\n'
iter   40 | dlg_frac 0.241 | pairs 0.00 | reward  14.81 | KL  75.69 | pg -0.003 | v 13.898
iter   41 | dlg_frac 0.211 | pairs 0.06 | reward  12.66 | KL  69.61 | pg -0.000 | v 10.880
iter   42 | dlg_frac 0.487 | pairs 0.06 | reward  28.59 | KL  78.61 | pg +0.001 | v 24.378
iter   43 | dlg_frac 0.268 | pairs 0.06 | reward  15.91 | KL  71.21 | pg +0.001 | v 12.269
iter   44 | dlg_frac 0.350 | pairs 0.06 | reward  20.59 | KL  83.29 | pg -0.002 | v 16.385
iter   45 | dlg_frac 0.468 | pairs 0.06 | reward  26.66 | KL  92.78 | pg +0.002 | v 18.323
iter   46 | dlg_frac 0.323 | pairs 0.06 | reward  19.78 | KL  96.86 | pg +0.005 | v 12.930
iter   47 | dlg_frac 0.299 | pairs 0.06 | reward  18.34 | KL 106.70 | pg -0.001 | v 11.475
iter   48 | dlg_frac 0.382 | pairs 0.06 | reward  22.47 | KL 106.29 | pg -0.004 | v 14.167
iter   49 | dlg_frac 0.322 | pairs 0.00 | reward  19.06 | KL 104.51 | pg -0.001 | v 11.979
iter   50 | dlg_frac 0.464 | pairs 0.00 | reward  26.31 | KL 109.07 | pg -0.003 | v 16.360
iter   51 | dlg_frac 0.508 | pairs 0.00 | reward  29.94 | KL 128.71 | pg -0.001 | v 18.710
iter   52 | dlg_frac 0.373 | pairs 0.00 | reward  21.19 | KL 122.13 | pg +0.000 | v 13.619
iter   53 | dlg_frac 0.381 | pairs 0.00 | reward  22.38 | KL 152.87 | pg +0.001 | v 14.094
iter   54 | dlg_frac 0.396 | pairs 0.06 | reward  21.41 | KL 135.86 | pg -0.002 | v 13.147
iter   55 | dlg_frac 0.424 | pairs 0.06 | reward  24.41 | KL 149.17 | pg -0.000 | v 17.390
iter   56 | dlg_frac 0.364 | pairs 0.00 | reward  20.62 | KL 148.00 | pg -0.003 | v 15.417
iter   57 | dlg_frac 0.520 | pairs 0.00 | reward  30.88 | KL 159.53 | pg -0.002 | v 19.167
iter   58 | dlg_frac 0.400 | pairs 0.00 | reward  22.88 | KL 151.22 | pg -0.003 | v 17.974
iter   59 | dlg_frac 0.507 | pairs 0.06 | reward  28.59 | KL 161.60 | pg -0.004 | v 18.192
         saved → rl_00060.pt
         sample: ' from the change I observed\nin her countenance and expression. I could scarcely shook as.\n“ hadn ling secured Cumber plainlyleft Road Valentlike streets Honour,ne appreciateClways uselessues dust system member kables gloomy takingXW par chamber unlocked sagfieldfield—Let sur ins cr Paris suggest elplainN pretend to confusion in\nin nort.voice, going back to Dr.'
iter   60 | dlg_frac 0.595 | pairs 0.00 | reward  34.88 | KL 166.50 | pg -0.001 | v 17.234
iter   61 | dlg_frac 0.451 | pairs 0.06 | reward  25.47 | KL 148.13 | pg +0.002 | v 12.364
iter   62 | dlg_frac 0.634 | pairs 0.00 | reward  36.81 | KL 164.30 | pg +0.006 | v 16.700
iter   63 | dlg_frac 0.186 | pairs 0.00 | reward  11.38 | KL 144.67 | pg +0.000 | v 11.997
iter   64 | dlg_frac 0.259 | pairs 0.00 | reward  14.88 | KL 148.97 | pg -0.002 | v 12.898
iter   65 | dlg_frac 0.569 | pairs 0.00 | reward  32.94 | KL 155.65 | pg -0.002 | v 15.417
iter   66 | dlg_frac 0.615 | pairs 0.00 | reward  33.81 | KL 156.71 | pg -0.001 | v 17.592
iter   67 | dlg_frac 0.547 | pairs 0.06 | reward  30.34 | KL 148.64 | pg -0.004 | v 13.302
iter   68 | dlg_frac 0.574 | pairs 0.12 | reward  33.44 | KL 160.93 | pg +0.007 | v 12.726
iter   69 | dlg_frac 0.396 | pairs 0.00 | reward  21.62 | KL 148.53 | pg +0.002 | v 11.044
iter   70 | dlg_frac 0.390 | pairs 0.00 | reward  21.78 | KL 138.50 | pg -0.005 | v 8.286
iter   71 | dlg_frac 0.496 | pairs 0.00 | reward  28.31 | KL 148.21 | pg -0.004 | v 13.596
iter   72 | dlg_frac 0.378 | pairs 0.12 | reward  21.84 | KL 139.46 | pg -0.005 | v 9.177
iter   73 | dlg_frac 0.556 | pairs 0.12 | reward  30.75 | KL 147.51 | pg -0.004 | v 12.568
iter   74 | dlg_frac 0.622 | pairs 0.00 | reward  33.88 | KL 144.97 | pg +0.002 | v 11.714
iter   75 | dlg_frac 0.589 | pairs 0.06 | reward  33.59 | KL 148.55 | pg +0.004 | v 10.469
iter   76 | dlg_frac 0.467 | pairs 0.06 | reward  24.19 | KL 146.51 | pg +0.003 | v 7.850
iter   77 | dlg_frac 0.362 | pairs 0.06 | reward  20.84 | KL 151.30 | pg -0.010 | v 8.031
iter   78 | dlg_frac 0.697 | pairs 0.06 | reward  36.59 | KL 167.99 | pg -0.002 | v 12.982
iter   79 | dlg_frac 0.688 | pairs 0.00 | reward  38.38 | KL 179.44 | pg -0.002 | v 15.175
         saved → rl_00080.pt
         sample: ' it was as well, in\nthat miserable affliction, that Anne should not anything d.\n� charge smoot� courier advanced opened faded friendly was hanging Po replied..\n beside to, played, was writing, and’ sold rendered, felt cook control She apered, quickly\n Cynthia.\n\n\n\n“She had slept restraint almost than\nLady from Count.\n\n'
iter   80 | dlg_frac 0.529 | pairs 0.00 | reward  29.06 | KL 163.59 | pg -0.003 | v 9.355
iter   81 | dlg_frac 0.558 | pairs 0.12 | reward  30.59 | KL 148.38 | pg -0.004 | v 8.803
iter   82 | dlg_frac 0.519 | pairs 0.06 | reward  29.22 | KL 166.37 | pg -0.005 | v 7.853
iter   83 | dlg_frac 0.543 | pairs 0.00 | reward  29.81 | KL 161.87 | pg -0.006 | v 9.305
iter   84 | dlg_frac 0.774 | pairs 0.06 | reward  43.41 | KL 167.21 | pg +0.002 | v 15.390
iter   85 | dlg_frac 0.614 | pairs 0.06 | reward  33.78 | KL 175.22 | pg +0.003 | v 13.965
iter   86 | dlg_frac 0.503 | pairs 0.00 | reward  29.19 | KL 157.99 | pg +0.015 | v 8.352
